trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9950124791926823}",30,0,-254.78583729207978,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 5}",0
2,False,"{'a': 0.005, 'e': 0.9900498337491681}",25,0,-186.99603688721842,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
3,False,"{'a': 0.005, 'e': 0.9851119396030626}",25,0,-127.00767431221396,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.005, 'e': 0.9801986733067553}",25,0,-19.192624279636256,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.005, 'e': 0.9753099120283326}",35,0,-179.71435558771302,"{0: 20, 1: 1, 2: 12, 3: 0, 4: 2}",0
6,False,"{'a': 0.005, 'e': 0.9704455335485082}",20,0,-85.17125301719932,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.005, 'e': 0.9656054162575665}",25,0,-129.70908202924173,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.005, 'e': 0.9607894391523232}",20,0,-149.82231944841703,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.005, 'e': 0.9559974818331}",25,0,-76.34762730933541,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.005, 'e': 0.951229424500714}",30,0,-94.99106779457351,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.005, 'e': 0.9464851479534838}",20,0,-137.14196361393252,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.005, 'e': 0.9417645335842487}",25,0,-58.133738258926,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.005, 'e': 0.9370674633774034}",20,0,-199.72308842715893,"{0: 6, 1: 5, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.005, 'e': 0.9323938199059483}",20,0,-104.36114082845693,"{0: 9, 1: 5, 2: 3, 3: 3, 4: 0}",0
15,False,"{'a': 0.005, 'e': 0.9277434863285529}",30,0,-249.58470927260154,"{0: 16, 1: 1, 2: 7, 3: 2, 4: 4}",0
16,False,"{'a': 0.005, 'e': 0.9231163463866358}",20,0,-71.6295127748916,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.005, 'e': 0.9185122844014574}",20,4,-183.4795910770102,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 4}",1
18,False,"{'a': 0.005, 'e': 0.9139311852712282}",25,0,-39.54592672915653,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.005, 'e': 0.9093729344682314}",20,0,-92.38490714442213,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
20,False,"{'a': 0.005, 'e': 0.9048374180359595}",20,0,-100.03224993104071,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.005, 'e': 0.9003245225862656}",20,5,-42.79307482363498,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 0}",1
22,False,"{'a': 0.005, 'e': 0.8958341352965282}",25,0,-264.71838481423305,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 5}",0
23,False,"{'a': 0.005, 'e': 0.8913661439068313}",20,0,-73.46157594682033,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
24,False,"{'a': 0.005, 'e': 0.8869204367171575}",20,0,-50.20215701469304,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.005, 'e': 0.8824969025845955}",25,0,-80.15275561749785,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
26,False,"{'a': 0.005, 'e': 0.8780954309205613}",20,0,-109.89497965682165,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.005, 'e': 0.8737159116880344}",20,0,-147.60383109147625,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
28,False,"{'a': 0.005, 'e': 0.8693582353988059}",20,0,-102.47352971631346,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.005, 'e': 0.8650222931107413}",35,0,-178.53257436335406,"{0: 25, 1: 3, 2: 2, 3: 1, 4: 4}",0
30,False,"{'a': 0.005, 'e': 0.8607079764250578}",20,0,-64.09892527725826,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.005, 'e': 0.8564151774836135}",20,0,-129.96777650471216,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
32,False,"{'a': 0.005, 'e': 0.8521437889662113}",25,8,-54.55686389176871,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 0}",1
33,False,"{'a': 0.005, 'e': 0.8478937040879159}",25,0,-87.45031309346511,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.005, 'e': 0.8436648165963837}",35,0,-125.68967628082079,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",0
35,False,"{'a': 0.005, 'e': 0.8394570207692074}",20,0,-72.7877132186709,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.005, 'e': 0.835270211411272}",25,0,-130.86318743426892,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
37,False,"{'a': 0.005, 'e': 0.8311042838521256}",30,0,-134.26316631546922,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.005, 'e': 0.8269591339433623}",25,0,-71.59003796261736,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.005, 'e': 0.8228346580560184}",25,0,-124.64112294658466,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
40,False,"{'a': 0.005, 'e': 0.8187307530779818}",25,0,-125.32693862282619,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
41,False,"{'a': 0.005, 'e': 0.8146473164114145}",25,0,-145.36886581318336,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
42,False,"{'a': 0.005, 'e': 0.8105842459701871}",20,0,-63.33979128530283,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
